Facility Name,Company,Facility Type,Facility Detail,Capacity,Railroads,Port,Car Spot,latitude,longitude
APM Termianls Pacific (Berths 400-406),,Intermodal Terminal,TOFC/COFC,,PHL,Port of Los Angeles,,33.728437,-118.241489
Total Terminals International (TTI/Pier T),,Intermodal Terminal,TOFC/COFC,,PHL,Port of Long Beach,,33.761171,-118.223799
"Toledo, OH",,Intermodal Terminal,TOFC/COFC,,NS, ,,41.637645,-83.589452
"Tucson, AZ",,Intermodal Terminal,COFC,,UP, ,,32.126437,-110.848336
"Wilmington, CA - TraPac Intermodal Container Transfer Facility",,Intermodal Terminal,TOFC/COFC,,PHL,Port of Los Angeles,,33.77032,-118.273289
Container Terminal (South Gate),,Intermodal Terminal,COFC,,CSX via WTRY,Port of Wilmington,,34.191224,-77.952419
"Winter Haven, FL - Central Florida Intermodal Logistics Center (CFILC)",,Intermodal Terminal,COFC,,"CSX, EVWR", ,,27.939953,-81.693226
"Worcester, MA",,Intermodal Terminal,TOFC/COFC,,CSX, ,,42.259951,-71.789244
"Wylie, TX",,Intermodal Terminal,TOFC/COFC,,KCS, ,,33.025555,-96.509452
South Cargo Pier 4,AutoPort Inc.,Intermodal Terminal,Marine Ro/Ro,, ,Port Canaveral,,28.406046,-80.608903
Northport Terminal,Broward County Board of County Commissioners,Intermodal Terminal,Marine Ro/Ro,, ,Port Everglades,,26.095059,-80.124331
Midport Terminal,Broward County Board of County Commissioners,Intermodal Terminal,Marine Ro/Ro,, ,Port Everglades,,26.082146,-80.122271
Southport Terminal,Broward County Board of County Commissioners,Intermodal Terminal,Marine Ro/Ro,, ,Port Everglades,,26.075007,-80.12416
Horizon Terminal (South Gate/Gate 4),Horizon Terminal Services,Intermodal Terminal,Marine Ro/Ro,,UP,Port Freeport,,28.937908,-95.346242
Dundalk Marine Terminal,Ports America,Intermodal Terminal,Marine Ro/Ro,,"CSX, NS",Port of Baltimore,,39.249791,-76.522789
Fairfield/Masonville Marine Terminal,Daimler-Chrysler (Mercedes-Benz),Intermodal Terminal,Marine Ro/Ro,,CSX,Port of Baltimore,,39.245094,-76.582359
Atlantic Terminal,AMPORTS,Intermodal Terminal,Marine Ro/Ro,,CSX,Port of Baltimore,,39.243714,-76.582066
Chesapeake Terminal,AMPORTS,Intermodal Terminal,Marine Ro/Ro,,CSX,Port of Baltimore,,39.239736,-76.571944
South Locust Point Marine Terminal,Maryland Port Authority (MPA),Intermodal Terminal,Marine Ro/Ro,,CSX,Port of Baltimore,,39.263176,-76.587264
Harbor Island Marine Terminal,Port of Beaumont Navigation District of Jefferson County,Intermodal Terminal,Marine Ro/Ro,,"BNSF, KCS, UP",Port of Beaumont,,30.078809,-94.090979
Boston Autoport,Massachusetts Port Authority (MassPort),Intermodal Terminal,Marine Ro/Ro,, ,Port of Boston,,42.381653,-71.051313
Colonel's Island Terminal,Georgia Ports Authority,Intermodal Terminal,Marine Ro/Ro,,"CSX, NS via GITM",Port of Brunswick,,31.119402,-81.539578
Columbus Street Terminal,South Carolina Ports Authority,Intermodal Terminal,Marine Ro/Ro,,"CSX, NS via Palmetto Railways",Port of Charleston,,32.80029,-79.93301
Veterans Terminal,South Carolina Ports Authority,Intermodal Terminal,Marine Ro/Ro,,"CSX, NS",Port of Charleston,,32.852486,-79.956328
Northside Terminal,Port of Corpus Christi Authority,Intermodal Terminal,Marine Ro/Ro,,"BNSF, KCS, UP, CCPN",Port of Corpus Christi,,27.815777,-97.396917
Southside Terminal,Port of Corpus Christi Authority,Intermodal Terminal,Marine Ro/Ro,,"BNSF, KCS, UP, CCPN",Port of Corpus Christi,,27.810971,-97.405928
Terminal 1,Wallenius Wilhelmsen Solutions on behalf of BMW,Intermodal Terminal,Marine Ro/Ro,,GVSR,Port of Galveston,,29.311089,-94.785866
Terminal 8,Ports America,Intermodal Terminal,Marine Ro/Ro,,GVSR,Port of Galveston,,29.304236,-94.813848
Honolulu Harbour Piers 51-53 (Sand Island),"Hawaii Department of Transportation, Harbors Division (DOT-H)",Intermodal Terminal,Marine Ro/Ro,, ,Port of Hawaii,,21.310867,-157.885113
Honolulu Harbour (Peirs 32 & 33),"Hawaii Department of Transportation, Harbors Division (DOT-H)",Intermodal Terminal,Marine Ro/Ro,, ,Port of Hawaii,,21.313145,-157.8744
Turning Basin Terminal,Port of Houston Authority,Intermodal Terminal,Marine Ro/Ro,,PTRA,Port of Houston,,29.731969,-95.257551
North Terminal,The Oxnard Harbor District,Intermodal Terminal,Marine Ro/Ro,,UP via VCRR,Port of Hueneme,,34.148044,-119.201089
Blount Island Marine Terminal,JAXPORT,Intermodal Terminal,Marine Ro/Ro,,CSX,Port of Jacksonville,,30.402753,-81.537844
Talleyrand Marine Terminal,JAXPORT,Intermodal Terminal,Marine Ro/Ro,,"CSX, NS via FEC, JXPT",Port of Jacksonville,,30.349582,-81.624258
Dames Point Marine Terminal,JAXPORT,Intermodal Terminal,Marine Ro/Ro,,CSX,Port of Jacksonville,,30.402463,-81.568579
Pier B,"Toyota Logistics Services, Inc.",Intermodal Terminal,Marine Ro/Ro,,PHL,Port of Long Beach,,33.778507,-118.219192
Pier F,Crescent Terminal (SSA Marine),Intermodal Terminal,Marine Ro/Ro,,PHL,Port of Long Beach,,33.743948,-118.210912
Pier A (Berths 195-200A),Wallenius Wilhelmsen Solutions,Intermodal Terminal,Marine Ro/Ro,,PHL,Port of Los Angeles,,33.767279,-118.259051
Terminal,Port of Miami Terminal Operating Company,Intermodal Terminal,Marine Ro/Ro,, ,Port of Miami,,25.769627,-80.15807
Main Docks/General Cargo,Alabama State Port Authority (ASPA),Intermodal Terminal,Marine Ro/Ro,,"BNSF, CN, CSX, KCS, NS, CGR",Port of Mobile,,30.704964,-88.043864
Nashville Avenue Wharf,Ports America,Intermodal Terminal,Marine Ro/Ro,,NOPB,Port of New Orleans,,29.914502,-90.120915
Port Newark,Port Authority of NY & NJ,Intermodal Terminal,Marine Ro/Ro,,"CSX, NS",Port of New York and New Jersey,,40.697774,-74.13147
Port Jersey,Port Authority of NY & NJ,Intermodal Terminal,Marine Ro/Ro,,"CSX, NS",Port of New York and New Jersey,,40.677057,-74.084293
Matson Terminal,"Stevedoring Services of America Terminals, Inc (SSA-Oakland)",Intermodal Terminal,Marine Ro/Ro,,"BNSF, UP via OTR",Port of Oakland,,37.797072,-122.295528
Southport Auto Terminal,Glovis on behalf of PhilaPort,Intermodal Terminal,Marine Ro/Ro,,"CSX, NS",Port of Philadelphia,,39.89279,-75.144005
Pier 98 Annex/Philadelphia Auto Processing Facility (PAPF),Glovis on behalf of PhilaPort,Intermodal Terminal,Marine Ro/Ro,,"CSX, NS",Port of Philadelphia,,39.912268,-75.140536
Parker Avenue Marine Terminal,"Greenwich Terminals, LLC on behalf of PhilaPort",Intermodal Terminal,Marine Ro/Ro,,"CSX, NS",Port of Philadelphia,,39.898882,-75.140291
Pier 122,USD Group (Northeast Energy Terminal),Intermodal Terminal,Marine Ro/Ro,,"CSX, NS",Port of Philadelphia,,39.896553,-75.140869
Terminal,Port of Port Arthur Navigation District of Jefferson County,Intermodal Terminal,Marine Ro/Ro,,KCS,Port of Port Arthur,,29.862698,-93.939357
Terminal 6,Port of Portland,Intermodal Terminal,Marine Ro/Ro,,BNSF,"Port of Portland, OR",,45.637673,-122.754289
Point Potrero Marine Terminal,City of Richmond,Intermodal Terminal,Marine Ro/Ro,,BNSF,"Port of Richmond, CA",,37.909586,-122.366951
National City Marine Terminal,Pasha Automotive Services (PAS),Intermodal Terminal,Marine Ro/Ro,,BNSF,Port of San Diego,,32.657637,-117.117429
Tenth Avenue Marine Terminal,Port of San Diego,Intermodal Terminal,Marine Ro/Ro,,BNSF,Port of San Diego,,32.697282,-117.151596
Pier 80,Pasha Automotive Services (PAS),Intermodal Terminal,Marine Ro/Ro,,UP via SFBR,Port of San Francisco,,37.750495,-122.382237
Ocean Terminal,Georgia Ports Authority,Intermodal Terminal,Marine Ro/Ro,,"CSX, NS",Port of Savannah,,32.091783,-81.108448
Blair Terminal,The Northwest Seaport Alliance,Intermodal Terminal,Marine Ro/Ro,, ,Port of Tacoma,,47.25918,-122.385129
East Blair One (EB1) Terminal,Port of Tacoma,Intermodal Terminal,Marine Ro/Ro,,TMBL,Port of Tacoma,,47.260118,-122.378411
Terminal 7 (T7),The Northwest Seaport Alliance,Intermodal Terminal,Marine Ro/Ro,,"North Intermodal Yard (NIM) - BNSF, UP via TMBL",Port of Tacoma,,47.266915,-122.410895
Marshall Avenue Auto Facility,Auto Warehousing Company,Intermodal Terminal,Marine Ro/Ro,,"BNSF, UP via TMBL",Port of Tacoma,,47.253241,-122.398259
TOTE Maritime Alaska Terminal,TOTE Maritime,Intermodal Terminal,Marine Ro/Ro,, ,Port of Tacoma,,47.278048,-122.408724
Terminal 4,Port of Vancouver,Intermodal Terminal,Marine Ro/Ro,,BNSF,"Port of Vancouver, WA",,45.637531,-122.703418
Newport News Marine Terminal (NNMT),Virginia Port Authority,Intermodal Terminal,Marine Ro/Ro,,CSX,Port of Virginia,,36.978723,-76.425063
Marine Terminal,"GT USA Wilmington, LLC",Intermodal Terminal,Marine Ro/Ro,,NS,"Port of Wilmington, DE",,39.715903,-75.530849
General Cargo Terminal (North Gate),North Carolina State Ports Authority,Intermodal Terminal,Marine Ro/Ro,,CSX via WTRY,"Port of Wilmington, NC",,34.208149,-77.949758
AutoMobile Ro/Ro International Terminal,AutoMobile International Terminal,Intermodal Terminal,Marine Ro/Ro,,"AGR via BNSF, CN, CSX, KCS, NS",Port of Mobile,,30.722221,-88.04699
General Cargo Terminal,North Carolina State Ports Authority,Intermodal Terminal,Marine Ro/Ro,,NS via CLNA,Port of Morehead City (NC),,34.720258,-76.702583
Portsmouth Marine Terminal (PMT),Virginia Port Authority,Intermodal Terminal,Marine Ro/Ro,,"CSX, NS via NPBL",Port of Virginia,,36.854061,-76.329789
Richmond Marine Terminal (RMT),Virginia Port Authority,Intermodal Terminal,Marine Ro/Ro,,"CSX, NS",Port of Virginia,,37.459837,-77.423559
ProvPort Terminal,"Waterson Terminal Services, LLC (WTS)",Intermodal Terminal,Marine Ro/Ro,,PW,Port of Providence,,41.795693,-71.387947
"GCT New York, NY - ExpressRail (Staten Island)",Global Container Terminals Inc.,Intermodal Terminal,Marine Ro/Ro,,"CSX, NS",Port of New York and New Jersey,,40.637148,-74.186455
Salem Marine Terminal (SMT),South Jersey Port Corporation (SJPC),Intermodal Terminal,Marine Ro/Ro,,"CSX, NS",Camden Gloucester,,39.57213,-75.485041
Terminal 4 / Omni-Terminal,Port of Grays Harbor Commission,Intermodal Terminal,Marine Ro/Ro,,"BNSF, UP via PSAP",Port of Grays Harbor,,46.962325,-123.837809
Hooker's Point Berths 201-203,Tampa Port Authority,Intermodal Terminal,Marine Ro/Ro,,CSX,Port Tampa Bay,,27.929955,-82.436158
Turning Basin Terminal,Port of Houston Authority,Intermodal Terminal,Marine Ro/Ro,,"BNSF, KCS, UP via PTRA",Port of Houston,,29.738372,-95.269198
Bayport Auto Terminal,Port of Houston Authority,Intermodal Terminal,Marine Ro/Ro,,UP,Port of Houston,,29.601013,-94.999168
Barbours Cut,Port of Houston Authority,Intermodal Terminal,Marine Ro/Ro,,"BNSF, UP via PTRA",Port of Houston,,29.67558,-95.004574
Deep Water Port (West Pier Terminal),Mississippi State Port Authority (MSPA),Intermodal Terminal,Marine Ro/Ro,,KCS,Port of Gulfport,,30.359782,-89.096581
Palm Beach Terminal,Port of Palm Beach District Commission,Intermodal Terminal,Marine Ro/Ro,,"CSX, NS via FEC",Port of Palm Beach,,26.769241,-80.05916
Charles P. Howard Terminal,Port of Oakland Commission,Intermodal Terminal,Marine Ro/Ro,,"BNSF, UP via OTR",Port of Oakland,,37.797859,-122.284749
Kahului Harbor (Pier 1),Matson; Pasha ,Intermodal Terminal,Marine Ro/Ro,,,Port of Hawaii,,20.897863,-156.46634
Honolulu Harbour Piers 1-2 (Fort Armstrong),Pasha,Intermodal Terminal,Marine Ro/Ro,,,Port of Hawaii,,21.297219,-157.86621
Honolulu Harbour Piers 39-40 (Interisland Terminal),Young Brothers,Intermodal Terminal,Marine Ro/Ro,,,Port of Hawaii,,21.320824,-157.880289
Honolulu Harbour Pier 29,"Hawaii Department of Transportation, Harbors Division (DOT-H)",Intermodal Terminal,Marine Ro/Ro,,,Port of Hawaii,,21.312518,-157.87095
West Sitcum Terminal,SSA Marine,Intermodal Terminal,Marine Ro/Ro,,SIM,Port of Tacoma,,47.258294,-122.411932
Terminal 115 (T-115),Alaska Marine Lines,Intermodal Terminal,Marine Ro/Ro,,BNSF via TMBL,Port of Seattle,,47.542192,-122.341085
General Cargo Terminal,Port of Alaska in Anchorage,Intermodal Terminal,Marine Ro/Ro,,ARR,Port of Alaska in Anchorage,,61.229168,-149.890783
SSA Terminals (Pier C),SSA Marine,Intermodal Terminal,Marine Ro/Ro,,,Port of Long Beach,,33.773289,-118.213546
Matson Auto Yard,Matson,Intermodal Terminal,Marine Ro/Ro,,,Port of Long Beach,,33.77475,-118.20969
Terminal,Itawamba County Port Authority,Intermodal Terminal,Marine Ro/Ro,,MSRW,Port Itawamba,,34.244096,-88.414108
Terminal,Natchez Port Authority,Intermodal Terminal,Marine Ro/Ro,,NTZR,Natchez - Adams County Port,,31.538636,-91.439031
Multi-Purpose Dock,Calhoun Port Authority,Intermodal Terminal,Marine Ro/Ro,,UP via PCN,Port Lavaca-Port Comfort,,28.646287,-96.548462
Clure Public Marine Terminal,Lake Superior Warehousing,Intermodal Terminal,Marine Ro/Ro,,"BNSF, CN, CP, UP",Port of Duluth-Superior,,46.758181,-92.098748
Port of Caddo-Bossier,Port of Caddo-Bossier Commission,Intermodal Terminal,Marine Ro/Ro,,"KCS, UP",General Cargo Dock,,32.362739,-93.629967
Toyota,Toyota,Auto Manufacturing Plant,,,,,,38.2345,-84.553
Hyundai,Hyundai,Auto Manufacturing Plant,,,,,,32.299999,-86.4
Subaru,Subaru,Auto Manufacturing Plant,,,,,,40.4,-86.8
Kia,Kia,Auto Manufacturing Plant,,,,,,32.9,-85.1
Stellantis,Stellantis,Auto Manufacturing Plant,,,,,,43.752,-79.718
Mercedes-Benz,Mercedes-Benz,Auto Manufacturing Plant,,,,,,33.15,-87.25
General Motors,General Motors,Auto Manufacturing Plant,,,,,,39.1239,-94.6275
Volkswagen,Volkswagen,Auto Manufacturing Plant,,,,,,35.066,-85.187
General Motors,General Motors,Auto Manufacturing Plant,,,,,,38.8114,-90.8529
Ford,Ford,Auto Manufacturing Plant,,,,,,38.2892,-85.5663
General Motors,General Motors,Auto Manufacturing Plant,,,,,,35.7436,-86.9309
Honda,Honda,Auto Manufacturing Plant,,,,,,44.15,-79.8667
Nissan,Nissan,Auto Manufacturing Plant,,,,,,35.9825,-86.52
General Motors,General Motors,Auto Manufacturing Plant,,,,,,43.8577,-78.8761
Ford,Ford,Auto Manufacturing Plant,,,,,,42.2761,-83.3744
Ford,Ford,Auto Manufacturing Plant,,,,,,42.2776,-83.0457
Nissan,Nissan,Auto Manufacturing Plant,,,,,,35.9825,-86.52
Nissan,Nissan,Auto Manufacturing Plant,,,,,,32.612499,-90.03
General Motors,General Motors,Auto Manufacturing Plant,,,,,,42.7191,-84.5417
Mazda-Toyota,Mazda-Toyota,Auto Manufacturing Plant,,,,,,34.6,-86.8
Stellantis,Stellantis,Auto Manufacturing Plant,,,,,,42.2936,-83.0036
Stellantis,Stellantis,Auto Manufacturing Plant,,,,,,42.567,-83.03
General Motors,General Motors,Auto Manufacturing Plant,,,,,,40.9576,-85.3255
Lucid Motors,Lucid Motors,Auto Manufacturing Plant,,,,,,32.75,-111.8
Ford,Ford,Auto Manufacturing Plant,,,,,,42.0953,-83.2918
Stellantis,Stellantis,Auto Manufacturing Plant,,,,,,41.6905,-83.5129
Rivian,Rivian,Auto Manufacturing Plant,,,,,,40.51,-88.99
BMW,BMW,Auto Manufacturing Plant,,,,,,34.9,-82.15
Toyota,Toyota,Auto Manufacturing Plant,,,,,,29.27,-98.57
Honda,Honda,Auto Manufacturing Plant,,,,,,40.3,-83.6
Ford,Ford,Auto Manufacturing Plant,,,,,,43.4343,-79.6923
Ford,Ford,Auto Manufacturing Plant,,,,,,41.5056,-82.0287
General Motors,General Motors,Auto Manufacturing Plant,,,,,,43.1457,-79.2045
Hyundai,Hyundai,Auto Manufacturing Plant,,,,,,32.299999,-86.4
General Motors,General Motors,Auto Manufacturing Plant,,,,,,42.9784,-83.6843
Volkswagen,Volkswagen,Auto Manufacturing Plant,,,,,,35.066,-85.187
General Motors,General Motors,Auto Manufacturing Plant,,,,,,42.7052,-84.6447
Honda,Honda,Auto Manufacturing Plant,,,,,,40.25,-83.55
Ford,Ford,Auto Manufacturing Plant,,,,,,41.6631,-87.5597
Toyota,Toyota,Auto Manufacturing Plant,,,,,,38.3646,-87.5653
Stellantis,Stellantis,Auto Manufacturing Plant,,,,,,42.45,-83.04
Honda,Honda,Auto Manufacturing Plant,,,,,,39.3531,-85.4799
General Motors,General Motors,Auto Manufacturing Plant,,,,,,42.7236,-83.2451
Tesla,Tesla,Auto Manufacturing Plant,,,,,,39.5336,-119.5643
Honda,Honda,Auto Manufacturing Plant,,,,,,40.25,-83.55
Toyota,Toyota,Auto Manufacturing Plant,,,,,,43.4245,-80.3125
Toyota,Toyota,Auto Manufacturing Plant,,,,,,43.1301,-80.6965
General Motors,General Motors,Auto Manufacturing Plant,,,,,,43.0387,-80.8838
Decatur,Indorama,Plastics Plant,"PET, p-xylene, PTA",450000 Metric Tons/yr,,,,34.64174972,-87.05816662
Decatur,Indorama,Plastics Plant,"PET, p-xylene, PTA",745000 Metric Tons/yr,,,,34.64174972,-87.05816662
Decatur,Indorama,Plastics Plant,"PET, p-xylene, PTA",720000 Metric Tons/yr,,,,34.64174972,-87.05816662
Ineos - Decatur,Ineos,Plastics Plant,polystyrene,193000 Metric Tons/yr,,,,34.63049762,-87.01754477
Carson,Ineos,Plastics Plant,polypropylene,231000 Metric Tons/yr,,,,33.8241066,-118.2308025
Americas Styrenics - Torrance,Chevron Phillips Chemical,Plastics Plant,polystyrene,150000 Metric Tons/yr,,,,33.84565475,-118.3312186
Tesoro Refinery - Carson,Marathon Petroleum,Plastics Plant,propylene,272000 Metric Tons/yr,,,,33.81859257,-118.2356231
Americas Styrenics - Gales Ferry (Allyn's Point),Chevron Phillips Chemical,Plastics Plant,polystyrene,115000 Metric Tons/yr,,,,41.44118978,-72.08195163
Clinton,LyondellBasell,Plastics Plant,"ethylene, polyethylene",476000 Metric Tons/yr,,,,41.80834174,-90.29575999
Clinton,LyondellBasell,Plastics Plant,"ethylene, polyethylene",485000 Metric Tons/yr,,,,41.80834174,-90.29575999
Morris,LyondellBasell,Plastics Plant,"ethylene, polyethylene",540000 Metric Tons/yr,,,,41.41308521,-88.329508
Morris,LyondellBasell,Plastics Plant,"ethylene, polyethylene",549000 Metric Tons/yr,,,,41.41308521,-88.329508
Henry,Orbia,Plastics Plant,PVC,48589 Metric Tons/yr,,,,41.13553412,-89.34022213
Americas Styrenics - Channahon (Joliet),Chevron Phillips Chemical,Plastics Plant,polystyrene,120000 Metric Tons/yr,,,,41.40221788,-88.19980363
Ineos Styrolution - Channahon,Ineos,Plastics Plant,polystyrene,399000 Metric Tons/yr,,,,41.41221005,-88.19631185
BP Whiting,BP,Plastics Plant,"propylene, mixed xylenes",167829 Metric Tons/yr,,,,41.663055,-87.479643
BP Whiting,BP,Plastics Plant,"propylene, mixed xylenes",787000 Metric Tons/yr,,,,41.663055,-87.479643
Calvert City,Westlake,Plastics Plant,"ethylene, chlor-alkali, VCM",342462 Metric Tons/yr,,,,37.0507108,-88.33046826
Calvert City,Westlake,Plastics Plant,"ethylene, chlor-alkali, VCM",680000 Metric Tons/yr,,,,37.0507108,-88.33046826
Calvert City,Westlake,Plastics Plant,"ethylene, chlor-alkali, VCM",249475 Metric Tons/yr,,,,37.0507108,-88.33046826
Calvert City,Westlake,Plastics Plant,"ethylene, chlor-alkali, VCM",274423 Metric Tons/yr,,,,37.0507108,-88.33046826
Calvert City PVC,Westlake,Plastics Plant,PVC,680388 Metric Tons/yr,,,,37.045833,-88.350556
Geismar,Nova Chemicals,Plastics Plant,"ethylene, propylene",51710 Metric Tons/yr,,,,30.23367664,-91.05123606
Geismar,Nova Chemicals,Plastics Plant,"ethylene, propylene",884505 Metric Tons/yr,,,,30.23367664,-91.05123606
Geismar,Occidental,Plastics Plant,"chlorine, caustic soda, EDC",282135 Metric Tons/yr,,,,30.18621004,-90.97905465
Geismar,Occidental,Plastics Plant,"chlorine, caustic soda, EDC",353000 Metric Tons/yr,,,,30.18621004,-90.97905465
Geismar,Occidental,Plastics Plant,"chlorine, caustic soda, EDC",387912 Metric Tons/yr,,,,30.18621004,-90.97905465
Geismar,Westlake,Plastics Plant,"PVC, EDC, VCM, chlorine, caustic soda",861825.503 Metric Tons/yr,,,,30.2117891,-91.01020762
Geismar,Westlake,Plastics Plant,"PVC, EDC, VCM, chlorine, caustic soda",317514 Metric Tons/yr,,,,30.2117891,-91.01020762
Geismar,Westlake,Plastics Plant,"PVC, EDC, VCM, chlorine, caustic soda",907184.74 Metric Tons/yr,,,,30.2117891,-91.01020762
Geismar,Westlake,Plastics Plant,"PVC, EDC, VCM, chlorine, caustic soda",349266 Metric Tons/yr,,,,30.2117891,-91.01020762
Geismar,Westlake,Plastics Plant,"PVC, EDC, VCM, chlorine, caustic soda",249475 Metric Tons/yr,,,,30.2117891,-91.01020762
Geismar,Shell,Plastics Plant,"ethylene oxide, MEG, alpha olefins",400000 Metric Tons/yr,,,,30.1865965,-90.9906349
Geismar,Shell,Plastics Plant,"ethylene oxide, MEG, alpha olefins",715000 Metric Tons/yr,,,,30.1865965,-90.9906349
Geismar,Shell,Plastics Plant,"ethylene oxide, MEG, alpha olefins",1300000 Metric Tons/yr,,,,30.1865965,-90.9906349
Lake Charles Polymers Plant,LyondellBasell,Plastics Plant,polypropylene,509000 Metric Tons/yr,,,,30.193916,-93.321347
Westlake,Indorama,Plastics Plant,"ethylene, propylene",457675 Metric Tons/yr,,,,30.1927212,-93.3282004
Westlake,Indorama,Plastics Plant,"ethylene, propylene",67132 Metric Tons/yr,,,,30.1927212,-93.3282004
Lake Charles Complex,LyondellBasell/Sasol,Plastics Plant,"ethylene, polyethylene, ethylene oxide, MEG, alcohols, derivative glycols, other petrochemicals",900000 Metric Tons/yr,,,,30.256629,-93.2897884
Lake Charles Complex,LyondellBasell/Sasol,Plastics Plant,"ethylene, polyethylene, ethylene oxide, MEG, alcohols, derivative glycols, other petrochemicals",1971655 Metric Tons/yr,,,,30.256629,-93.2897884
Lake Charles Complex,LyondellBasell/Sasol,Plastics Plant,"ethylene, polyethylene, ethylene oxide, MEG, alcohols, derivative glycols, other petrochemicals",300000 Metric Tons/yr,,,,30.256629,-93.2897884
"Petro I & II, Styrene, Poly III",Westlake,Plastics Plant,"ethylene, styrene, polyethylene",1496855 Metric Tons/yr,,,,30.17662383,-93.35920621
"Petro I & II, Styrene, Poly III",Westlake,Plastics Plant,"ethylene, styrene, polyethylene",326587 Metric Tons/yr,,,,30.17662383,-93.35920621
"Petro I & II, Styrene, Poly III",Westlake,Plastics Plant,"ethylene, styrene, polyethylene",271742 Metric Tons/yr,,,,30.17662383,-93.35920621
"Petro I & II, Styrene, Poly III",Westlake,Plastics Plant,"ethylene, styrene, polyethylene",259000 Metric Tons/yr,,,,30.17662383,-93.35920621
Poly I & II,Westlake,Plastics Plant,polyethylene,450000 Metric Tons/yr,,,,30.1970338,-93.32733821
Lake Charles South,Westlake,Plastics Plant,"chlor-alkali, EDC, VCM, chlorinated chemical derivatives",1360000 Metric Tons/yr,,,,30.22653957,-93.28772293
Lake Charles South,Westlake,Plastics Plant,"chlor-alkali, EDC, VCM, chlorinated chemical derivatives",1270000 Metric Tons/yr,,,,30.22653957,-93.28772293
Lake Charles South,Westlake,Plastics Plant,"chlor-alkali, EDC, VCM, chlorinated chemical derivatives",671000 Metric Tons/yr,,,,30.22653957,-93.28772293
Lake Charles South,Westlake,Plastics Plant,"chlor-alkali, EDC, VCM, chlorinated chemical derivatives",439304 Metric Tons/yr,,,,30.22653957,-93.28772293
Lake Charles,Westlake/Lotte,Plastics Plant,"ethylene, MEG",1000000 Metric Tons/yr,,,,30.21926075,-93.30369464
Lake Charles,Westlake/Lotte,Plastics Plant,"ethylene, MEG",920000 Metric Tons/yr,,,,30.21926075,-93.30369464
Lake Charles North,Westlake,Plastics Plant,VCM,513239 Metric Tons/yr,,,,30.25184042,-93.28543032
Baton Rouge Polyolefins,ExxonMobil,Plastics Plant,"ethylene, polyethylene, polypropylene, propylene",1206556 Metric Tons/yr,,,,30.56012965,-91.20898127
Baton Rouge Polyolefins,ExxonMobil,Plastics Plant,"ethylene, polyethylene, polypropylene, propylene",900000 Metric Tons/yr,,,,30.56012965,-91.20898127
Baton Rouge Polyolefins,ExxonMobil,Plastics Plant,"ethylene, polyethylene, polypropylene, propylene",1000000 Metric Tons/yr,,,,30.56012965,-91.20898127
Baton Rouge Polyolefins,ExxonMobil,Plastics Plant,"ethylene, polyethylene, polypropylene, propylene",1275000 Metric Tons/yr,,,,30.56012965,-91.20898127
Baton Rouge,Formosa,Plastics Plant,"VCM, PVC",754959 Metric Tons/yr,,,,30.49947896,-91.1884529
Baton Rouge,Formosa,Plastics Plant,"VCM, PVC",653000 Metric Tons/yr,,,,30.49947896,-91.1884529
Garyville,Pinnacle Polymers,Plastics Plant,polypropylene,589670 Metric Tons/yr,,,,30.0688853,-90.60434505
Plaquemine,Dow,Plastics Plant,"ethylene, polyethylene, propylene, ethylene oxide, benzene",409000 Metric Tons/yr,,,,30.320903,-91.239015
Plaquemine,Dow,Plastics Plant,"ethylene, polyethylene, propylene, ethylene oxide, benzene",1630665 Metric Tons/yr,,,,30.320903,-91.239015
Plaquemine,Dow,Plastics Plant,"ethylene, polyethylene, propylene, ethylene oxide, benzene",1828000 Metric Tons/yr,,,,30.320903,-91.239015
Plaquemine,Dow,Plastics Plant,"ethylene, polyethylene, propylene, ethylene oxide, benzene",320000 Metric Tons/yr,,,,30.320903,-91.239015
Plaquemine,Dow,Plastics Plant,"ethylene, polyethylene, propylene, ethylene oxide, benzene",1046231 Metric Tons/yr,,,,30.320903,-91.239015
Plaquemine,Shintech,Plastics Plant,"ethylene, PVC, VCM, EDC, chlorine, caustic soda",1004707 Metric Tons/yr,,,,30.257214,-91.176642
Plaquemine,Shintech,Plastics Plant,"ethylene, PVC, VCM, EDC, chlorine, caustic soda",1160000 Metric Tons/yr,,,,30.257214,-91.176642
Plaquemine,Shintech,Plastics Plant,"ethylene, PVC, VCM, EDC, chlorine, caustic soda",500000 Metric Tons/yr,,,,30.257214,-91.176642
Plaquemine,Shintech,Plastics Plant,"ethylene, PVC, VCM, EDC, chlorine, caustic soda",2000000 Metric Tons/yr,,,,30.257214,-91.176642
Plaquemine,Shintech,Plastics Plant,"ethylene, PVC, VCM, EDC, chlorine, caustic soda",1770000 Metric Tons/yr,,,,30.257214,-91.176642
Plaquemine,Shintech,Plastics Plant,"ethylene, PVC, VCM, EDC, chlorine, caustic soda",1280000 Metric Tons/yr,,,,30.257214,-91.176642
Plaquemine,Westlake,Plastics Plant,"PVC, EDC, VCM, chlorine",756647.86502151 Metric Tons/yr,,,,30.262255,-91.185837
Plaquemine,Westlake,Plastics Plant,"PVC, EDC, VCM, chlorine",490061 Metric Tons/yr,,,,30.262255,-91.185837
Plaquemine,Westlake,Plastics Plant,"PVC, EDC, VCM, chlorine",861826 Metric Tons/yr,,,,30.262255,-91.185837
Plaquemine,Westlake,Plastics Plant,"PVC, EDC, VCM, chlorine",1150000 Metric Tons/yr,,,,30.262255,-91.185837
